text,rating,label
"Sudah dua kali menginap di hotel ini..
Masih menjadi hotel tujuan utama jika datang ke manado...
Sarapannya enak, kamarnya nyaman dan banyak warung warung makan di sekitar hotel.
Stafnya ramah dan sigap..",5,Positif
"Awalnya karena banyak hotel yang penuh, karena ada acara TIFF, dan agenda yang lainnya. Saya hanya dapat kamar di hotel Quality. Tetapi dengan rasa setengah hati karena dari luar hotelnya kurang menarik. Akhirnya setelah masuk kedalam disambut dengan ramah karyawannya, dan alunan musik yang bagus. sirna sudah rasa setengah hati itu. Ditambah suasana kamar yang nyaman. ternyata tepat pilihan saya nginap disini. Hari senin saya nginap, dan karena tugas harus ke kotamobagu. Dan setelah dari kotamobagu, pilihan saya langsung tanpa ragu untuk nginap lagi di Quality Manado.. ",4,Positif
"Saya menginap di Manado Quality bulan Juli 2017 dalam rangka perjalanan dinas. Hotel ini memberikan pelayanan yang sangat prima, mulai dari check-in sampai dengan check-out. Kamar sangat nyaman, bangun terawat dengan baik, menu sarapan bervariasi dan enakk, juga menyajikan masakan khas manado. Ruang rapat yang kami gunakan juga sangat nyaman, dan para pelayan sangat sigap menanggapi segala permintaan kami. Lounge di lantai 1 juga menyenangkan karena hampir setiap malam disuguhi live music penyanyi dengan iringan piano/keyboard.. cocok untuk meet up dengan teman/rekan kerja. Lokasi hotel juga cukup strategis, dilewati kendaraan umum di depan hotel. Jika berjalan kaki ke arah belakang hotel, terdapat kafe-kafe gaul untuk sekedar nongkrong-nongkrong ala anak jaman now",5,Positif
"Hotel yang begitu nyaman. Baik dari sisi ruangan, bed maupun toiletnya. Pelayanannya sangat ramah. Breakfastnya enak dan cukup bervariasi. 
Lokasi cukup dekat dengan Mall Mantos.

Jika boleh menjadi masukan Wifinya saja yang perlu ditingkatkat speednya.

Thank U Quality Hotel Manado",4,Positif
"Kemaren sempat book via agoda sudah jam 13.30 wita. Dapatnya kamar twin tapi okelah..

1. Proses check in/out cepat
2. Wifi di kamar kurang baik signalnya kemaren dpatnya kamar 314
3. Sarapannya mantap
4. Kamarnya bersih
5. Overall recommended hotel",5,Positif
"Pelayanan hotel sangat ok... Mulai Dari resepsionis, petugas hotel, dan staff... hotel dengan bangunnya sangat baik... lift sangat baik, makanan pada pagi hari lumayan baik, sayangnya hotel tidak dilengkapi dengan kolam renang, sangat disayangkan... tapi biar begitu menurut saya Sudah sangat cukup baik... terima kasih manado quality hotel... ingin menginap lagi di hotel tersebut ",4,Positif
"Saya suka dengan pelayanannya. Staff hotelnya baik dan menyapa tamu dengan nama. Sarapannya mulainya pagi dan variatif, serta staff restorant selalu siaga dalam menawarkan teh atau kopi. Kamarnya bersih, ada meja untuk bisa bekerja, kamar mandinya bersih dan wangi. Dekat ke Mantos, gampang cari makan.",4,Positif
"Lokasi sangat strategis langsung pinggir laut lalu hanya tinggal jalan kaki untuk bisa lihat sunset di Mantos (Manado Town Square). Mall yang paling besar di Manado. Sangat dekat (mungkin bisa dibilang sebrangan dengan hotel) dengan Jendela Indonesia yang kemarin pas saya ke Manado, baru saja dibuka. Untuk tempat kuliner ada juga restoran seafood, coto makasar, sampe kuliner khas lamongan juga ada, tinggal jalan di ke kanan dari hotel. Recommended hotel kalo ke Manado",4,Positif
Lokasinya sangat strategis ... mau kemana mana dekat... bisa jalan kaki ke transmart... dekat dengan beberapa pusat perbelanjaan di kota Manado... tempat makan juga dekat... hotel yang bersih Dan terawat... stafnya juga ramah... nice hotel... ,4,Positif
"Saya mengunjungi Manado bulan lalu untuk pernikahan teman saya. Saya dan teman saya memilih Manado Quality Hotel karena ini adalah harga yang terjangkau untuk kami. Lokasi adalah di seberang dari Manado Convention Center, di mana teman saya resepsi pernikahan diselenggarakan sehingga ini adalah pilihan yang tepat untuk menginap. Hotel ini juga terletak dekat pantai, Bahu Mall dan Manado Town Square (Mall terbesar yang di Manado). 

Staf yang sangat ramah dan sangat membantu selama saya menginap di sana. Mereka bahkan tidak memiliki banyak fasilitas di dalam hotel tapi saya tidak keberatan karena jadwal saya sangat ketat di Manado dan saya pergi sepanjang hari. 
Saya menyewa mobil dari hotel dan terkejut pada harga lebih masuk akal dari luar penyewaan mobil, mereka disediakan rumah penuh cakalang rica dan Klapertaart dengan harga yang masuk akal juga. 

Kamar sangat bagus, bersih, luas dan nyaman. Sarapan standar tapi banyak yang berbeda anda bisa memilih untuk makan. Mereka disajikan beberapa makanan lokal setiap hari. Untuk selera saya sebagai turis, makanan lokal mereka adalah yang terbaik. Saya suka mereka jagung dengan cakalang. 

Secara Keseluruhan. Saya merekomendasikan hotel ini. Terima kasih untuk membuat saya mengunjungi hotel berkualitas di Manado yang sangat mengesankan.",4,Positif
"Keempat kalinya saya menginap di hotel ini sejak tahun 2013 tidak ada perubahan yang signifikan.  Ukuran kamar dan kebersihan ruangan cukup baik. Pilihan menu sarapan termasuk monoton dan tidak terlalu banyak variasi.  Sampai malam terakhir saya cukup puas menginap di hotel ini namun pada saat akan membayar laundry saya cukup kecewa karena 4x laundry (saya menginap 5 hari)  setiap bill saya dicash kelebihan 10 ribu dari yang seharusnya saya bayar dan pihak laundry serta front office ""memaksa"" saya untuk mengakui kelebihan tersebut dengan alasan saya salah mencatat jumlah pakaian yg saya laundry. Jadi saran saya jika ingin menginap di hotel ini dan harus menggunakan jasa laundry pastikan terlebih dahulu atau hitung kira2 berapa anda harus membayar bill laundry agar tidak kecewa.  ",3,Negatif
"Kamarnya nyaman, luas, sarapannya banyak pilihan paling enak tinutuannya. Live music di Resto setiap malam, dekat dengan pusat perbelanjaan, ada beberapa kuliner disamping kanan hotel. Ada coto daeng yabgvenak di sana, cukup berjalan 100 meter dr hotel",5,Positif
Hotel ini memberikan sentuhan lokal dengan standar yang sangat baik. Makanannya juga enak terutama untuk Selera Asia. Ini adalah pilihan yang baik untuk pertemuan bisnis. Mereka tidak memiliki kolam renang jadi tidak dianjurkan untuk keluarga atau mereka yang ingin berenang. Akses transportasi umum cukup mudah dan dekat ke pusat kota.,5,Positif
"Beberapa kali nginep di sini, karena urusan kerjaan jadi mau gak mau nginep di sini. Tempatnya strategis krn di pusat kota dekat dg tempat makan dan mall mantos.
Staffnya ramah dan menyenangkan, sayangnya gak Ada kolam renang dan fitness center ",4,Positif
"Cukup nyaman utk hotel lama , spacy room ... fasilitas kurang lengkap , wifi terbatas di lobby ..breakfast ok  walau variasi makanan agak kurang banyak .. hospitality baik , kebersihan ok..secara keseluruhan baik",4,Positif
"Hotel ini berada di pusat kota, dekat dengan mall dan pusat oleh-oleh. Akses dari Bandara Sam Ratulangi kira-kira membutuhkan waktu sekitar 1 jam. Kamar berlantai kayu dan bersih. Pelayanan baik dan cukup memuaskan.",4,Positif
"Saya mendapat kamar yang lebih kecil daripada kunjungan terakhir saya, sabun cair tidak menambahkan untuk 3 hari. Sarapan enak dengan banyak pilihan. Bagus lobi yang besar sehingga kami dapat bertemu dengan rekan kerja yang nyaman dengan piano dan penyanyi. Staf sangat ramah dan ingat nama saya. Bila mereka memberikan harga promosi. Saya pikir ini hotel yang layak untuk tinggal",3,Negatif
"Manado Quality Hotel ini memiliki lokasi yang bagus dan akses yang mudah. Tapi ketika saya tinggal di sini untuk akses Internet adalah sangat buruk, dan mengeluh untuk staf mereka hanya mengatakan bahwa ada masalah dengan internet, dan minggu berikutnya saya datang untuk tinggal lagi, internet masih memiliki masalah. Sarapan yang baik secara keseluruhan, kamar rata-rata, dengan staf rata-rata.",3,Negatif
"Saya dan istri saya tinggal di hotel ini selama 2 malam. Malam pertama kami punya kamar Superior twin, kami kecewa, tapi staf hotel yang sangat baik, hari berikutnya mereka memberi kami kamar yang terbaik. Kami menikmati tinggal di hotel ini. Hanya perlu meningkatkan tempat parkir untuk tamu hotel.",4,Positif
"Hotel lama yang berlokasi di pusat kota,, kamarnya nyaman dan rapih

Untuk sarapannya beragam dan nikmat,, ada jajan pasar dan ada bubur manado yang di lidah saya tidak biasa

Ada wifi tapi sinyalnya kurang bagus",4,Positif
"Cari referensi hotel di Manado... Quality hotel menurut saya sangat memuaskan. Pelayanan, kamar hotel yg bersih, makanan yg enak tentunya harganya terjangkau... 3 kali saya berkunjung ke Manado 3 kali pula Quality hotel jadi pilihan saya. ",5,Positif
"Manado Quality Hotel memiliki lokasi yang strategis, akses yang mudah, dan juga mudah untuk pergi ke mal. banyak Mall di jalan yang sama. 
Pelayanan baik, didukung dengan staf yang ramah dan membantu. Kamar luas, bersih, dan cukup. Ada 2 kekurangan menurut saya, pertama adalah tempat tidur, kasur di tempat tidur ketika kami pindah derit, mengganggu ketenangan tidur kami. Kedua, adalah akses WiFi - agak lambat. 
Sarapan adalah ok, ada banyak varian makanan yang bisa dimakan, rasanya lumayan. 
Ini adalah nilai: 
Lokasi: 4/5 
Pelayanan: 4/5 
Kamar: 4/5 
Makanan sarapan: 3/5 
Kualitas Tidur: 3/5 
Pelayanan: 4/5 
Kualitas vs harga: 4/5",4,Positif
"Kualitas hotel di Manado adalah hotel yang berkualitas, yang terletak di jalan raya terkenal jalan, staf yang membantu dan ramah, sarapan yang baik dan makanan yang lezat, mereka memiliki sebuah bar dan lounge yang bagus, harga terjangkau untuk makanan, bir dan tarif kamar. 
Lokasi yang bagus 
Ramah, membantu staf 
Dengan harga yang terjangkau",4,Positif
Ada lantai bebas rokok tapi masih berbau rokok dan kami masih bisa merokok. Lokasi yang baik dan hotel ini cukup bersih. Tidak ada banyak pilihan yang tersedia untuk sarapan. Koneksi wifi cukup bagus di kamar.,3,Negatif
"Hotel yang bagus dengan lokasi yang sangat strategis di jalan boulevard manado... mau ke pusat perbelanjaan Mantoz, Ke kawasan Mega mas, Bahu mall... semuanya dekat.. kamarnya bersih.. sarapannya lumayan... ada coto, bubur manado... dan lain lain.... parkiran luas... sayang ngak ada kolam renang... ",4,Positif
"Jika Anda tidak keberatan hirup rokok merokok 24 x 7, ini bisa menjadi sebuah hotel yang layak untuk Anda. Sirkulasi udara sangat buruk bahwa Kami mencium bau rokok merokok di lobi yang datang dari lantai bawah. Saat memasuki hotel anda akan bau rokok merokok karena mereka cukup kuat merokok adalah ruang terbuka langsung ke lobi. Hanya tempat kami tidak mencium bau rokok adalah lift. Rasanya seperti berada di dalam area merokok sepanjang waktu. Jika Anda memiliki anak-anak, tinggal jauh. 

Tempat ini cukup bersih, lokasi tidak buruk, dan staf cukup ramah. Jika Anda seorang perokok atau tidak memiliki masalah dengan merokok, ini adalah hotel yang cukup layak.",1,Negatif
"hotel dengan nuansa modern dan interior bagus, kamarnya tertata apik dan resik, cukup luas, dan lengkap dengan peralatan yang dibutuhkan sampai ke cotton bud, cahaya yang terang, penataan lampu yang simetris dan didukung sarapan yang beragam dan enak...",4,Positif
"Kamar : Pesan Junior suite dapat free upgrade ke royal suite. sangat luas dan nyaman, disambut dengan buah2an dan surat selamat datang atas nama pengunjung. manajemen yang baik.
Lokasi : Strategis di boulevard, banyak mall di sekitar dan dekat tepi laut, pemandangan yang baik.
Makanan: Bervariasi, dan tersedia makanan khas manado.",4,Positif
"Hotel ini setahu saya sudah cukup lama namun kondisi hotel ridak beda dengan waktu saya visit beberapa tahun yang lalu. Kualitas service justru jauh meningkat sejak pertama kali check inn sampai check out. Semua karyawan dari semua lapisan begitu hormat dan penuh senyum. 
Terlihat juga saat ini banyak turis asing menginap di hotel ini",4,Positif
"Menginap 4 malam di sini di kamar 533. Kamar sangat bagus dengan lantai kayu. Pancuran air masih kuat :) staf yang sangat ramah (ya semua dari mereka ramah). Senyum dan sapaan yang di mana-mana.

Hal yang perlu diperhatikan:
- tidak ada wifi kecuali di lantai 1st
- kamar bebas rokok yang masih memiliki sedikit bau asap",4,Positif
"Menginap di hotel ini sebenarnya sangat menyenangkan.. Kamar & breakfast yg baik serta staff yang ramah. Tetapi jangan harap mendapatkan Wifi dikamar, TIDAK ADA SIGNAL WIFI DI SEMUA KAMAR !!! Bahkan di lobby sekalipun sulit mengakses Wifi hotel. Sangat menyulitkan untuk perjalanan bisnis saya",3,Negatif
"Tinggal di sana selama 4 malam di kamar deluxe. Pemandangan dari kamar tidak luas bangunan sebagai sebagian melihat, tetapi anda masih dapat melihat laut. Lokasinya bagus, dekat dengan pusat perbelanjaan dan restoran makanan laut. Internet hanya tersedia di lobi. Sarapan yang baik, disajikan dengan bubur manado :) . Taksi dari bandara ke max Rp.100, 000. Ada taksi berhenti di depan hotel. Makanan halal banyak restoran di dekatnya.",3,Negatif
"Hotel yang terletak di dekat pantai, dan lokasi yang strategis untuk bisnis. Ada banyak restoran dekat dengan hotel dan di seberang jalan ada supermarket besar. Lobi yang bagus dan pemandangan yang indah dari kamar dan kamar yang bersih. Staf kantor depan yang sangat membantu.",4,Positif
"Lokasi sangat strategis di depan pusat perbelanjaan Boulevard Square,Mantos dan kuliner. Hotel berlantai-7 menyediakan 143 kamar, layanan Check-in/check-out  jam: 14.00/12.00, Buffet breakfast-lunch& dinner, coffee break pagi & sore,Standard meeting & free LCD (min.100 pax).Ada counter Lion Air disini
Tarif kamar (fullboard package); mulai Superior /Twin Rp 650 ribu,Deluxe/Twin Rp 750 ribu,Suite/Single Rp 1 juta & Royal Suite/Single Rp 2 juta. Ada Meeting Package: Half Day Rp 170 ribu nett/pax (1x coffee break+ 1x lunch/dinner selama 4~ 5 jam), One Day Rp 220 ribu (2x coffee break 8~9 jam) & Full Day Rp 300 ribu (10~12 jam)",4,Positif
"Salah satu hotel terbaik di kota manado, sangat bersih, lokasi yang besar, staf yang sangat ramah... Saya yakin anda akan menikmati masa tinggal anda... Apakah anda sedang dalam perjalanan bisnis atau liburan. Aku benar-benar menikmati saya 9 hari menginap di quality hotel, manado",5,Positif
"Hotel ini benar-benar berkualitas, sesuai namanya. Tidak ada yang perlu dikomentari, kebersihan, pelayanan, lokasi, semuanya oke. Yang terpenting, saya bisa tidur nyenyak dan berkualitas untuk melanjutkan aktivitas keesokan harinya. Mantap.",4,Positif
"Hotel ini memiliki kamar yang bersih, lokasi hotel sangat strategis karena dekat dengan pusat perbelanjaan dan beberapa tempat makan di kota ini. Makanan yang disajikan enak enak pula. Saya sangat menikmati sarapan pagi di hotel ini.",5,Positif
"Hotel ini cukup strategis dan dekat dengan pusat keramaian. untuk kamar cukup luas, bersih dan nyaman, tapi fasilitas wifi untuk di kamar tidak terlalu bagus, sangat baik di lobby dan lounge. Akses lift menggunakan key room, sehingga cukup terjaga keamanannya. Room service pelayanannya cukup responsif, dan untuk menu sarapan cukup lengkap dan bervariasi",4,Positif
"saya merasa nyaman ketika masuk hotel, pelayanan yg ramah di sambut welcome drink yg menghangatkan tenggorokan stelah lama di pesawat, hotel ini cocok untuk perjalanan bisnis atau pribadi,letak strategis dan bersih. disediakan kamar khusus perokok sprtinya d lantai 7.
",4,Positif
"Manado memiliki kualitas yang baik, kamar bersih dan sarapan di sini adalah baik-baik saja. Namun koneksi internet di kamar adalah mengerikan. Ketika anda tidak dapat mempersangkuntukan di semua. Juga menyarankan untuk menanyakan apakah anda ingin bebas rokok atau rokok sebagai udara tercemar di rokok.",4,Positif
"Kamar yang luas dan tempat tidur yang nyaman adalah selamat datang setelah 6 - 7 jam perjalanan di lalu lintas khas indonesia...

Dengan hanya satu malam setelah tiba dan berangkat di iklan zulmat aku tidak bisa komentar pada lokasi ini berkenaan dengan hotel lainnya. Namun, kamarnya bersih dan luas dan aku senang dengan tidur yang baik sebelum keberangkatan awal ke bandara secara brutal. Staf di meja depan sangat membantu pada saat kedatangan dan keberangkatan; mereka juga mengatur bagaimana sarapan kemilan sebagai restoran tidak akan terbuka pada saat kolega saya dan saya meninggalkan. Itu bagus untuk kualitas layanan.

Meskipun pengalaman saya terbatas, saya senang dengan masa menginap saya dan tidak akan ragu-ragu untuk merekomendasikan tinggal di properti ini mungkin daftar hotel untuk menginap di sementara di manado.",4,Positif
"Bagus hotel nya, service top banget terima kasih untuk pak jeshua dan conferral atas service nya",5,Positif
"Is the best, sangat nyaman karna dilayani dengan baik, makanannya juga enak dan kamarnya nyaman",5,Positif
"Mantaps, cocok buat acara keluarga",5,Positif
Tempat yg nyaman untuk ngumpul,5,Positif
"Untuk makanan overall enak, tidak ada complain juga dari tamu undangan. The best tidak diragukan untuk pelayanan dari four points, ramah dan sangat membantu hingga akhir acara.
Recommended untuk buat acara kembali next time ",5,Positif
"Berbagai pilihan hidangan mulai dari masakan nusantara yang kaya rempah hingga hidangan menu takjil yang disajikan dengan tampilan menggoda.
Pelayanan yang ramah dari staf restoran menambah kenyamanan, membuat kami merasa dihargai dan dilayani dengan baik.
Berbuka puasa di Four Points bukan sekadar menikmati makanan lezat, tetapi juga merasakan pengalaman berbuka yang berkelas, hangat, dan penuh makna dengan momen bersama sahabat terkasih yang terasa begitu berkesan di bulan Ramadan.",5,Positif
Luar biasa buka puasa ala sultan.. puas bgt sama pelayanannya… ,5,Positif
buka puasa bersama dengan konsep private...hotel menyediakan berbagai macam menu yang menarik.,4,Positif
"Fasilitasnya bagus, bersih, rapi, staffnya ramah-ramah, pelayanannya memuaskan, untuk hidangan makan malam sangat bervariasi, kita bisa memilih beragam menu sesuai selera kita, mulari dari makanan ringan, makanan berat, makanan penutup, semuanya tersedia, dan tentunya rasanya enak, pokoknya sangat cocok bagi kebutuhan pribadi ataupun bisnis.",5,Positif
"Lokasi strategis di tengah kota, pemandangan langsung ke laut yang sangat indah. Ruangan kamarnya luas, nyaman dan bersih. Semua karyawan sangat ramah. Memberikan kenyamanan bagi para tamu yang menginap.
Untuk service grandballroom semuanya sangat baik untuk acara wedding sangat direkomendasikan untuk client kami.",5,Positif
Lebih Fleksible terkait administrasi,3,Negatif
"Seluruh staf hotel sangat ramah dan sangat membantu. Kamar - kamarnya bagus & sangat bersih, makanannya enak dan lezat 
Ballroomnya sangat mewah 
Lokasinya juga strategis berada di tengah kota dan sangat dekat dengan mall di kota Manado",5,Positif
"Komunikasi dari persiapan untuk acara sampai hari acara sangat baik, 
Makanan okay,
penyajian di meja keluarga agak lambat, kerupuk di meja lanut, ruangan kurang dingin...",5,Positif
"Tempat menginap andalan kalau di Manado, makanannya enak-enak dan kamarnya bersih, dapet pemandangan laut  manado yg cantikkkk",5,Positif
"So thankful for kak Tirza & team! Pelayanannya baik sekali, semua ruangan bersih, rapi, terutama toilet ttp bersih dan tissuenya selalu di refill. Recommended✅",5,Positif
"lokasinya strategis, ruangan bersih rapi , kamarnya nice, pelayanannya ramah dan receptionist helpfull, makanan enak",5,Positif
"Menginap di Four Points Manado jadi pengalaman yang menyenangkan. Kamarnya bersih, nyaman, dan suasananya bikin betah. Proses check-in sampai selama menginap semuanya berjalan lancar.

Special thanks to Salsabillah Saleh for the kind and helpful assistance. Truly appreciated. Pasti akan balik lagi dan merekomendasikan hotel ini.",5,Positif
"Four point paling keren makananya tempat weddingnya paling topp, senang skli bisa buat acara pernikahan di four point dengan makanan dan pelayanan yang baik.",5,Positif
"Saya termasuk orang yg lumayan stayvacation di sini,apalagi klo ada celebrate  with family karna hospitality yg very nice tapi barusan saya nginap di sini memakai rate koorporate biasanya tanpa saya reservasi saya bisa reservasi dengan rate koorporate di front desk tapi barusan saya harus menunggu at least 2 hours krn bagian reseption mengharuskan saya mengubungi sales koorporate dulu baru bisa stay yg lebih membuat badmood sedang melayani reseption bicara dengan teman sesama reseption tepat sementara melayani guest sambi ketawa ketiwi..alhirnya kami ke kamar karna sdh di kasi kartu hotel dan ternyata kamarnya blum ready masih sementara di persiapkan padahal kami sdh berada di kamar tidak di suruh tunggu ..nama reseptionya salsabila...pelayanan yg 180"" dibandingkan 8 bulan lalu saya nginap",1,Negatif
"Pelayanan yang luar biasa,, tempat yang begitu nyaman dan sangat cocok untuk melaksanakan kegiatan sekolah..
Para orangtua begitu senang dan semoga pada acara berikutnya kami bisa berjodoh kembali dengan four points",5,Positif
Salah satu hotel berbintang di Manado. Lokasinya cukup dekat ke pusat perbelanjaan Manado Town Square. Interior kamar terlihat sudah tua namun terawat dengan baik. Harga standar hotel bintang 5. Untuk sarapannya sangat bervariatif dan enak.,5,Positif
Itu adalah tempat yang bagus untuk menginap. Suasana dan staf ramah dan membantu. Saya tinggal di sini dua kali untuk kunjungan saya ke Pulau Siau untuk Karangetang - gunung berapi. Hotel ini berada dalam jarak berjalan kaki ke pusat perbelanjaan dan restoran,4,Positif
"Kamarnya bersih,Strategis,dekat dengan pertokoan,Pelayannya sangat Ramah,makanan pagi banyak menu pilihan dan sangat Enakkkk...,Ruangan pertemuannya sangat luas..
Kamar mandi dan wcnya bagus dan bersih..",5,Positif
Sampai sudah malam tapi staff yang melayani sangat ramah. Saya dikasih waktu untuk late checkout. Tempat dekat dengan restaurant dan mall besar di manado. Kamar besar bersih dengan kamar mandi yg bersih juga. Senang karena di hotel ini juga ada ibadah gereja yang saya ikuti. Breakfastnya sangat menyenangkan. Makanan yg beragam dengan ciri khas manado juga. Cuma sayang wifinya tdk mudah diakses. Selalu putus dan tidak kencang.,4,Positif
"Saya dan teman-teman saya menginap di hotel ini selama seminggu. Kamar cukup luas dan bersih. Staf ramah. sarapan di restoran ada banyak variasi tapi menu klappertart hanya disajikan satu kali dalam seminggu. Bubur manadonya enak. pasteriesnya enak. buahnya cukup segar dan manis. Lokasinya sangat strategis. di samping kanan hotel ada indomart. Star Square dan Mantos terletak sangat dekat dengan hotel ini. Hotel ini tidak memiliki seaview tapi jaraknya cukup dekat dengan laut. Disamping kiri hotel, ada banyak restoran. 
Sayangnya tidak ada hairdryer di kamar. Wifi di kamar juga sering tidak stabil.",4,Positif
"Hotel yang selalu saya tempati saat berada di Manado.
 Dari luar memang hotel ini kelihatan sudah berumur,namun saat memasuki nya anda akan merasakan sangat nyaman. dari segi interior,suasana,danstaff yang sangat ramah.
Sarapan pagi sangat beragam dan selalu di jaga dalam kondisi yang baik.
",4,Positif
"Saya menginap selama 6 malam, ini adalah kedua kalinya saya menginap di sini. Semua staf di resepsionis sangat ramah dan membantu. Terima kasih semuanya.
Saya mencoba beberapa makanan di restoran. Semua baik. Para pelayan ramah dan membantu. Terima kasih semuanya
Staf layanan kebersihan berbicara dengan keras satu sama lain. Mereka harus menurunkan suara.",5,Positif
"Sapaan dan senyuman diberikan pada tamu, mulai dari turun mobil sampai sesaat sebelum masuk kamar. Oleh setiap karyawan. Welcome drink hangat, minuman khas Manado selalu menyapa setiap tamu. Tidak lupa, GRO mengantar sampai ke lift dg penuh senyum. Kamar hotel yang bersih, kasir dan bantal yang nyaman dan shower air hangat sangat baik. Makanan juga lengkap dan baik.",4,Positif
"Plus :
- Kamar luas, terang dan nyaman.
- Menu makan bervariasi.
- Laundry aman dan bersih, tidak ada yang hilang.
- Pelayanan ok.

Minus:
- Interior kamar yang agak lama (tidak modern). 

Secara keseluruhan cukup menyenangkan.",5,Positif
"Sudah dua kali menginap di hotel ini..
Masih menjadi hotel tujuan utama jika datang ke manado...
Sarapannya enak, kamarnya nyaman dan banyak warung warung makan di sekitar hotel.
Stafnya ramah dan sigap..",5,Positif
"Awalnya karena banyak hotel yang penuh, karena ada acara TIFF, dan agenda yang lainnya. Saya hanya dapat kamar di hotel Quality. Tetapi dengan rasa setengah hati karena dari luar hotelnya kurang menarik. Akhirnya setelah masuk kedalam disambut dengan ramah karyawannya, dan alunan musik yang bagus. sirna sudah rasa setengah hati itu. Ditambah suasana kamar yang nyaman. ternyata tepat pilihan saya nginap disini. Hari senin saya nginap, dan karena tugas harus ke kotamobagu. Dan setelah dari kotamobagu, pilihan saya langsung tanpa ragu untuk nginap lagi di Quality Manado.. ",4,Positif
"Saya menginap di Manado Quality bulan Juli 2017 dalam rangka perjalanan dinas. Hotel ini memberikan pelayanan yang sangat prima, mulai dari check-in sampai dengan check-out. Kamar sangat nyaman, bangun terawat dengan baik, menu sarapan bervariasi dan enakk, juga menyajikan masakan khas manado. Ruang rapat yang kami gunakan juga sangat nyaman, dan para pelayan sangat sigap menanggapi segala permintaan kami. Lounge di lantai 1 juga menyenangkan karena hampir setiap malam disuguhi live music penyanyi dengan iringan piano/keyboard.. cocok untuk meet up dengan teman/rekan kerja. Lokasi hotel juga cukup strategis, dilewati kendaraan umum di depan hotel. Jika berjalan kaki ke arah belakang hotel, terdapat kafe-kafe gaul untuk sekedar nongkrong-nongkrong ala anak jaman now",5,Positif
