text,rating,label,text_clean,text_final
"Sudah dua kali menginap di hotel ini..
Masih menjadi hotel tujuan utama jika datang ke manado...
Sarapannya enak, kamarnya nyaman dan banyak warung warung makan di sekitar hotel.
Stafnya ramah dan sigap..",5,Positif,sudah dua kali menginap di hotel ini masih menjadi hotel tujuan utama jika datang ke manado sarapannya enak kamarnya nyaman dan banyak warung warung makan di sekitar hotel stafnya ramah dan sigap,dua kali menginap hotel masih menjadi hotel tujuan utama datang manado sarapannya enak kamarnya nyaman banyak warung warung makan sekitar hotel stafnya ramah sigap
"Awalnya karena banyak hotel yang penuh, karena ada acara TIFF, dan agenda yang lainnya. Saya hanya dapat kamar di hotel Quality. Tetapi dengan rasa setengah hati karena dari luar hotelnya kurang menarik. Akhirnya setelah masuk kedalam disambut dengan ramah karyawannya, dan alunan musik yang bagus. sirna sudah rasa setengah hati itu. Ditambah suasana kamar yang nyaman. ternyata tepat pilihan saya nginap disini. Hari senin saya nginap, dan karena tugas harus ke kotamobagu. Dan setelah dari kotamobagu, pilihan saya langsung tanpa ragu untuk nginap lagi di Quality Manado.. ",4,Positif,awalnya karena banyak hotel yang penuh karena ada acara tiff dan agenda yang lainnya saya hanya dapat kamar di hotel quality tetapi dengan rasa setengah hati karena dari luar hotelnya kurang menarik akhirnya setelah masuk kedalam disambut dengan ramah karyawannya dan alunan musik yang bagus sirna sudah rasa setengah hati itu ditambah suasana kamar yang nyaman ternyata tepat pilihan saya nginap disini hari senin saya nginap dan karena tugas harus ke kotamobagu dan setelah dari kotamobagu pilihan saya langsung tanpa ragu untuk nginap lagi di quality manado,awalnya banyak hotel penuh ada acara tiff agenda lainnya hanya kamar hotel quality rasa setengah hati luar hotelnya kurang menarik akhirnya masuk kedalam disambut dengan ramah karyawannya alunan musik bagus sirna rasa setengah hati ditambah suasana kamar nyaman ternyata tepat pilihan nginap disini hari senin nginap karena tugas ke kotamobagu setelah dari kotamobagu pilihan langsung ragu nginap di quality manado
"Saya menginap di Manado Quality bulan Juli 2017 dalam rangka perjalanan dinas. Hotel ini memberikan pelayanan yang sangat prima, mulai dari check-in sampai dengan check-out. Kamar sangat nyaman, bangun terawat dengan baik, menu sarapan bervariasi dan enakk, juga menyajikan masakan khas manado. Ruang rapat yang kami gunakan juga sangat nyaman, dan para pelayan sangat sigap menanggapi segala permintaan kami. Lounge di lantai 1 juga menyenangkan karena hampir setiap malam disuguhi live music penyanyi dengan iringan piano/keyboard.. cocok untuk meet up dengan teman/rekan kerja. Lokasi hotel juga cukup strategis, dilewati kendaraan umum di depan hotel. Jika berjalan kaki ke arah belakang hotel, terdapat kafe-kafe gaul untuk sekedar nongkrong-nongkrong ala anak jaman now",5,Positif,saya menginap di manado quality bulan juli dalam rangka perjalanan dinas hotel ini memberikan pelayanan yang sangat prima mulai dari checkin sampai dengan checkout kamar sangat nyaman bangun terawat dengan baik menu sarapan bervariasi dan enakk juga menyajikan masakan khas manado ruang rapat yang kami gunakan juga sangat nyaman dan para pelayan sangat sigap menanggapi segala permintaan kami lounge di lantai juga menyenangkan karena hampir setiap malam disuguhi live music penyanyi dengan iringan pianokeyboard cocok untuk meet up dengan temanrekan kerja lokasi hotel juga cukup strategis dilewati kendaraan umum di depan hotel jika berjalan kaki ke arah belakang hotel terdapat kafekafe gaul untuk sekedar nongkrongnongkrong ala anak jaman now,menginap manado quality bulan juli rangka perjalanan dinas hotel memberikan pelayanan sangat prima mulai checkin checkout kamar sangat nyaman bangun terawat baik menu sarapan bervariasi enakk menyajikan masakan khas manado ruang rapat gunakan sangat nyaman para pelayan sangat sigap menanggapi segala permintaan kami lounge lantai menyenangkan hampir malam disuguhi live music penyanyi iringan pianokeyboard cocok meet up dengan temanrekan kerja lokasi hotel cukup strategis dilewati kendaraan umum depan hotel berjalan kaki arah belakang hotel terdapat kafekafe gaul sekedar nongkrongnongkrong ala anak jaman now
"Hotel yang begitu nyaman. Baik dari sisi ruangan, bed maupun toiletnya. Pelayanannya sangat ramah. Breakfastnya enak dan cukup bervariasi. 
Lokasi cukup dekat dengan Mall Mantos.

Jika boleh menjadi masukan Wifinya saja yang perlu ditingkatkat speednya.

Thank U Quality Hotel Manado",4,Positif,hotel yang begitu nyaman baik dari sisi ruangan bed maupun toiletnya pelayanannya sangat ramah breakfastnya enak dan cukup bervariasi lokasi cukup dekat dengan mall mantos jika boleh menjadi masukan wifinya saja yang perlu ditingkatkat speednya thank u quality hotel manado,hotel begitu nyaman baik sisi ruangan bed maupun toiletnya pelayanannya sangat ramah breakfastnya enak cukup bervariasi lokasi cukup dekat mall mantos boleh menjadi masukan wifinya yang perlu ditingkatkat speednya thank u quality hotel manado
"Kemaren sempat book via agoda sudah jam 13.30 wita. Dapatnya kamar twin tapi okelah..

1. Proses check in/out cepat
2. Wifi di kamar kurang baik signalnya kemaren dpatnya kamar 314
3. Sarapannya mantap
4. Kamarnya bersih
5. Overall recommended hotel",5,Positif,kemaren sempat book via agoda sudah jam wita dapatnya kamar twin tapi okelah proses check inout cepat wifi di kamar kurang baik signalnya kemaren dpatnya kamar sarapannya mantap kamarnya bersih overall recommended hotel,kemaren sempat book via agoda jam wita dapatnya kamar twin okelah proses check inout cepat wifi kamar kurang baik signalnya kemaren dpatnya kamar sarapannya mantap kamarnya bersih overall recommended hotel
"Pelayanan hotel sangat ok... Mulai Dari resepsionis, petugas hotel, dan staff... hotel dengan bangunnya sangat baik... lift sangat baik, makanan pada pagi hari lumayan baik, sayangnya hotel tidak dilengkapi dengan kolam renang, sangat disayangkan... tapi biar begitu menurut saya Sudah sangat cukup baik... terima kasih manado quality hotel... ingin menginap lagi di hotel tersebut ",4,Positif,pelayanan hotel sangat ok mulai dari resepsionis petugas hotel dan staff hotel dengan bangunnya sangat baik lift sangat baik makanan pada pagi hari lumayan baik sayangnya hotel tidak dilengkapi dengan kolam renang sangat disayangkan tapi biar begitu menurut saya sudah sangat cukup baik terima kasih manado quality hotel ingin menginap lagi di hotel tersebut,pelayanan hotel sangat mulai resepsionis petugas hotel staff hotel bangunnya sangat baik lift sangat baik makanan pagi hari lumayan baik sayangnya hotel dilengkapi kolam renang sangat disayangkan biar menurut sudah sangat cukup baik terima kasih manado quality hotel menginap di hotel tersebut
"Saya suka dengan pelayanannya. Staff hotelnya baik dan menyapa tamu dengan nama. Sarapannya mulainya pagi dan variatif, serta staff restorant selalu siaga dalam menawarkan teh atau kopi. Kamarnya bersih, ada meja untuk bisa bekerja, kamar mandinya bersih dan wangi. Dekat ke Mantos, gampang cari makan.",4,Positif,saya suka dengan pelayanannya staff hotelnya baik dan menyapa tamu dengan nama sarapannya mulainya pagi dan variatif serta staff restorant selalu siaga dalam menawarkan teh atau kopi kamarnya bersih ada meja untuk bisa bekerja kamar mandinya bersih dan wangi dekat ke mantos gampang cari makan,suka pelayanannya staff hotelnya baik menyapa tamu nama sarapannya mulainya pagi variatif staff restorant selalu siaga menawarkan teh kopi kamarnya bersih meja bisa bekerja kamar mandinya bersih wangi dekat mantos gampang cari makan
"Lokasi sangat strategis langsung pinggir laut lalu hanya tinggal jalan kaki untuk bisa lihat sunset di Mantos (Manado Town Square). Mall yang paling besar di Manado. Sangat dekat (mungkin bisa dibilang sebrangan dengan hotel) dengan Jendela Indonesia yang kemarin pas saya ke Manado, baru saja dibuka. Untuk tempat kuliner ada juga restoran seafood, coto makasar, sampe kuliner khas lamongan juga ada, tinggal jalan di ke kanan dari hotel. Recommended hotel kalo ke Manado",4,Positif,lokasi sangat strategis langsung pinggir laut lalu hanya tinggal jalan kaki untuk bisa lihat sunset di mantos manado town square mall yang paling besar di manado sangat dekat mungkin bisa dibilang sebrangan dengan hotel dengan jendela indonesia yang kemarin pas saya ke manado baru saja dibuka untuk tempat kuliner ada juga restoran seafood coto makasar sampe kuliner khas lamongan juga ada tinggal jalan di ke kanan dari hotel recommended hotel kalo ke manado,lokasi sangat strategis langsung pinggir laut lalu tinggal jalan kaki lihat sunset mantos manado town square mall paling besar manado sangat dekat mungkin bisa dibilang sebrangan hotel jendela indonesia kemarin pas manado baru dibuka tempat kuliner restoran seafood coto makasar sampe kuliner khas lamongan juga ada tinggal jalan ke kanan hotel recommended hotel kalo ke manado
Lokasinya sangat strategis ... mau kemana mana dekat... bisa jalan kaki ke transmart... dekat dengan beberapa pusat perbelanjaan di kota Manado... tempat makan juga dekat... hotel yang bersih Dan terawat... stafnya juga ramah... nice hotel... ,4,Positif,lokasinya sangat strategis mau kemana mana dekat bisa jalan kaki ke transmart dekat dengan beberapa pusat perbelanjaan di kota manado tempat makan juga dekat hotel yang bersih dan terawat stafnya juga ramah nice hotel,lokasinya sangat strategis mau mana dekat jalan kaki transmart dekat beberapa pusat perbelanjaan kota manado tempat makan dekat hotel bersih terawat stafnya ramah nice hotel
"Saya mengunjungi Manado bulan lalu untuk pernikahan teman saya. Saya dan teman saya memilih Manado Quality Hotel karena ini adalah harga yang terjangkau untuk kami. Lokasi adalah di seberang dari Manado Convention Center, di mana teman saya resepsi pernikahan diselenggarakan sehingga ini adalah pilihan yang tepat untuk menginap. Hotel ini juga terletak dekat pantai, Bahu Mall dan Manado Town Square (Mall terbesar yang di Manado). 

Staf yang sangat ramah dan sangat membantu selama saya menginap di sana. Mereka bahkan tidak memiliki banyak fasilitas di dalam hotel tapi saya tidak keberatan karena jadwal saya sangat ketat di Manado dan saya pergi sepanjang hari. 
Saya menyewa mobil dari hotel dan terkejut pada harga lebih masuk akal dari luar penyewaan mobil, mereka disediakan rumah penuh cakalang rica dan Klapertaart dengan harga yang masuk akal juga. 

Kamar sangat bagus, bersih, luas dan nyaman. Sarapan standar tapi banyak yang berbeda anda bisa memilih untuk makan. Mereka disajikan beberapa makanan lokal setiap hari. Untuk selera saya sebagai turis, makanan lokal mereka adalah yang terbaik. Saya suka mereka jagung dengan cakalang. 

Secara Keseluruhan. Saya merekomendasikan hotel ini. Terima kasih untuk membuat saya mengunjungi hotel berkualitas di Manado yang sangat mengesankan.",4,Positif,saya mengunjungi manado bulan lalu untuk pernikahan teman saya saya dan teman saya memilih manado quality hotel karena ini adalah harga yang terjangkau untuk kami lokasi adalah di seberang dari manado convention center di mana teman saya resepsi pernikahan diselenggarakan sehingga ini adalah pilihan yang tepat untuk menginap hotel ini juga terletak dekat pantai bahu mall dan manado town square mall terbesar yang di manado staf yang sangat ramah dan sangat membantu selama saya menginap di sana mereka bahkan tidak memiliki banyak fasilitas di dalam hotel tapi saya tidak keberatan karena jadwal saya sangat ketat di manado dan saya pergi sepanjang hari saya menyewa mobil dari hotel dan terkejut pada harga lebih masuk akal dari luar penyewaan mobil mereka disediakan rumah penuh cakalang rica dan klapertaart dengan harga yang masuk akal juga kamar sangat bagus bersih luas dan nyaman sarapan standar tapi banyak yang berbeda anda bisa memilih untuk makan mereka disajikan beberapa makanan lokal setiap hari untuk selera saya sebagai turis makanan lokal mereka adalah yang terbaik saya suka mereka jagung dengan cakalang secara keseluruhan saya merekomendasikan hotel ini terima kasih untuk membuat saya mengunjungi hotel berkualitas di manado yang sangat mengesankan,mengunjungi manado bulan lalu pernikahan teman teman memilih manado quality hotel harga terjangkau kami lokasi seberang manado convention center mana teman resepsi pernikahan diselenggarakan pilihan tepat menginap hotel ini terletak dekat pantai bahu mall manado town square mall terbesar manado staf sangat ramah sangat membantu selama menginap sana bahkan memiliki banyak fasilitas dalam hotel keberatan jadwal sangat ketat di manado pergi sepanjang hari menyewa mobil hotel terkejut harga lebih masuk akal luar penyewaan mobil disediakan rumah penuh cakalang rica klapertaart harga masuk akal juga kamar sangat bagus bersih luas nyaman sarapan standar banyak berbeda bisa memilih makan disajikan beberapa makanan lokal hari selera sebagai turis makanan lokal adalah terbaik saya suka jagung cakalang keseluruhan saya merekomendasikan hotel ini terima kasih membuat saya mengunjungi hotel berkualitas di manado sangat mengesankan
"Keempat kalinya saya menginap di hotel ini sejak tahun 2013 tidak ada perubahan yang signifikan.  Ukuran kamar dan kebersihan ruangan cukup baik. Pilihan menu sarapan termasuk monoton dan tidak terlalu banyak variasi.  Sampai malam terakhir saya cukup puas menginap di hotel ini namun pada saat akan membayar laundry saya cukup kecewa karena 4x laundry (saya menginap 5 hari)  setiap bill saya dicash kelebihan 10 ribu dari yang seharusnya saya bayar dan pihak laundry serta front office ""memaksa"" saya untuk mengakui kelebihan tersebut dengan alasan saya salah mencatat jumlah pakaian yg saya laundry. Jadi saran saya jika ingin menginap di hotel ini dan harus menggunakan jasa laundry pastikan terlebih dahulu atau hitung kira2 berapa anda harus membayar bill laundry agar tidak kecewa.  ",3,Negatif,keempat kalinya saya menginap di hotel ini sejak tahun tidak ada perubahan yang signifikan ukuran kamar dan kebersihan ruangan cukup baik pilihan menu sarapan termasuk monoton dan tidak terlalu banyak variasi sampai malam terakhir saya cukup puas menginap di hotel ini namun pada saat akan membayar laundry saya cukup kecewa karena x laundry saya menginap hari setiap bill saya dicash kelebihan ribu dari yang seharusnya saya bayar dan pihak laundry serta front office memaksa saya untuk mengakui kelebihan tersebut dengan alasan saya salah mencatat jumlah pakaian yg saya laundry jadi saran saya jika ingin menginap di hotel ini dan harus menggunakan jasa laundry pastikan terlebih dahulu atau hitung kira berapa anda harus membayar bill laundry agar tidak kecewa,keempat kalinya menginap hotel sejak tahun ada perubahan signifikan ukuran kamar kebersihan ruangan cukup baik pilihan menu sarapan termasuk monoton tidak terlalu banyak variasi malam terakhir cukup puas menginap hotel namun saat membayar laundry cukup kecewa x laundry menginap hari bill dicash kelebihan ribu yang bayar pihak laundry front office memaksa untuk mengakui kelebihan tersebut alasan salah mencatat jumlah pakaian yg laundry jadi saran saya jika menginap hotel dan menggunakan jasa laundry pastikan terlebih atau hitung kira berapa harus membayar bill laundry tidak kecewa
"Kamarnya nyaman, luas, sarapannya banyak pilihan paling enak tinutuannya. Live music di Resto setiap malam, dekat dengan pusat perbelanjaan, ada beberapa kuliner disamping kanan hotel. Ada coto daeng yabgvenak di sana, cukup berjalan 100 meter dr hotel",5,Positif,kamarnya nyaman luas sarapannya banyak pilihan paling enak tinutuannya live music di resto setiap malam dekat dengan pusat perbelanjaan ada beberapa kuliner disamping kanan hotel ada coto daeng yabgvenak di sana cukup berjalan meter dr hotel,kamarnya nyaman luas sarapannya banyak pilihan paling enak tinutuannya live music resto malam dekat pusat perbelanjaan beberapa kuliner disamping kanan hotel coto daeng yabgvenak sana cukup berjalan meter dr hotel
Hotel ini memberikan sentuhan lokal dengan standar yang sangat baik. Makanannya juga enak terutama untuk Selera Asia. Ini adalah pilihan yang baik untuk pertemuan bisnis. Mereka tidak memiliki kolam renang jadi tidak dianjurkan untuk keluarga atau mereka yang ingin berenang. Akses transportasi umum cukup mudah dan dekat ke pusat kota.,5,Positif,hotel ini memberikan sentuhan lokal dengan standar yang sangat baik makanannya juga enak terutama untuk selera asia ini adalah pilihan yang baik untuk pertemuan bisnis mereka tidak memiliki kolam renang jadi tidak dianjurkan untuk keluarga atau mereka yang ingin berenang akses transportasi umum cukup mudah dan dekat ke pusat kota,hotel memberikan sentuhan lokal standar sangat baik makanannya enak terutama selera asia adalah pilihan baik pertemuan bisnis memiliki kolam renang jadi tidak dianjurkan keluarga mereka ingin berenang akses transportasi umum cukup mudah dekat pusat kota
"Beberapa kali nginep di sini, karena urusan kerjaan jadi mau gak mau nginep di sini. Tempatnya strategis krn di pusat kota dekat dg tempat makan dan mall mantos.
Staffnya ramah dan menyenangkan, sayangnya gak Ada kolam renang dan fitness center ",4,Positif,beberapa kali nginep di sini karena urusan kerjaan jadi mau gak mau nginep di sini tempatnya strategis krn di pusat kota dekat dg tempat makan dan mall mantos staffnya ramah dan menyenangkan sayangnya gak ada kolam renang dan fitness center,beberapa kali nginep sini urusan kerjaan jadi mau gak mau nginep sini tempatnya strategis krn pusat kota dekat dg tempat makan mall mantos staffnya ramah menyenangkan sayangnya gak kolam renang fitness center
"Cukup nyaman utk hotel lama , spacy room ... fasilitas kurang lengkap , wifi terbatas di lobby ..breakfast ok  walau variasi makanan agak kurang banyak .. hospitality baik , kebersihan ok..secara keseluruhan baik",4,Positif,cukup nyaman utk hotel lama spacy room fasilitas kurang lengkap wifi terbatas di lobby breakfast ok walau variasi makanan agak kurang banyak hospitality baik kebersihan oksecara keseluruhan baik,cukup nyaman utk hotel lama spacy room fasilitas kurang lengkap wifi terbatas lobby breakfast walau variasi makanan kurang banyak hospitality baik kebersihan oksecara keseluruhan baik
"Hotel ini berada di pusat kota, dekat dengan mall dan pusat oleh-oleh. Akses dari Bandara Sam Ratulangi kira-kira membutuhkan waktu sekitar 1 jam. Kamar berlantai kayu dan bersih. Pelayanan baik dan cukup memuaskan.",4,Positif,hotel ini berada di pusat kota dekat dengan mall dan pusat oleholeh akses dari bandara sam ratulangi kirakira membutuhkan waktu sekitar jam kamar berlantai kayu dan bersih pelayanan baik dan cukup memuaskan,hotel berada pusat kota dekat mall pusat oleholeh akses bandara sam ratulangi kirakira membutuhkan waktu jam kamar berlantai kayu bersih pelayanan baik cukup memuaskan
"Saya mendapat kamar yang lebih kecil daripada kunjungan terakhir saya, sabun cair tidak menambahkan untuk 3 hari. Sarapan enak dengan banyak pilihan. Bagus lobi yang besar sehingga kami dapat bertemu dengan rekan kerja yang nyaman dengan piano dan penyanyi. Staf sangat ramah dan ingat nama saya. Bila mereka memberikan harga promosi. Saya pikir ini hotel yang layak untuk tinggal",3,Negatif,saya mendapat kamar yang lebih kecil daripada kunjungan terakhir saya sabun cair tidak menambahkan untuk hari sarapan enak dengan banyak pilihan bagus lobi yang besar sehingga kami dapat bertemu dengan rekan kerja yang nyaman dengan piano dan penyanyi staf sangat ramah dan ingat nama saya bila mereka memberikan harga promosi saya pikir ini hotel yang layak untuk tinggal,mendapat kamar lebih kecil kunjungan terakhir sabun cair menambahkan hari sarapan enak banyak pilihan bagus lobi besar kami bertemu rekan kerja nyaman piano penyanyi staf sangat ramah ingat nama bila memberikan harga promosi pikir hotel layak tinggal
"Manado Quality Hotel ini memiliki lokasi yang bagus dan akses yang mudah. Tapi ketika saya tinggal di sini untuk akses Internet adalah sangat buruk, dan mengeluh untuk staf mereka hanya mengatakan bahwa ada masalah dengan internet, dan minggu berikutnya saya datang untuk tinggal lagi, internet masih memiliki masalah. Sarapan yang baik secara keseluruhan, kamar rata-rata, dengan staf rata-rata.",3,Negatif,manado quality hotel ini memiliki lokasi yang bagus dan akses yang mudah tapi ketika saya tinggal di sini untuk akses internet adalah sangat buruk dan mengeluh untuk staf mereka hanya mengatakan bahwa ada masalah dengan internet dan minggu berikutnya saya datang untuk tinggal lagi internet masih memiliki masalah sarapan yang baik secara keseluruhan kamar ratarata dengan staf ratarata,manado quality hotel memiliki lokasi bagus akses mudah ketika tinggal sini akses internet sangat buruk mengeluh staf hanya mengatakan ada masalah internet minggu berikutnya datang tinggal internet memiliki masalah sarapan baik keseluruhan kamar ratarata staf ratarata
"Saya dan istri saya tinggal di hotel ini selama 2 malam. Malam pertama kami punya kamar Superior twin, kami kecewa, tapi staf hotel yang sangat baik, hari berikutnya mereka memberi kami kamar yang terbaik. Kami menikmati tinggal di hotel ini. Hanya perlu meningkatkan tempat parkir untuk tamu hotel.",4,Positif,saya dan istri saya tinggal di hotel ini selama malam malam pertama kami punya kamar superior twin kami kecewa tapi staf hotel yang sangat baik hari berikutnya mereka memberi kami kamar yang terbaik kami menikmati tinggal di hotel ini hanya perlu meningkatkan tempat parkir untuk tamu hotel,dan istri tinggal hotel selama malam malam pertama punya kamar superior twin kecewa staf hotel sangat baik hari berikutnya memberi kamar terbaik menikmati tinggal hotel hanya perlu meningkatkan tempat parkir tamu hotel
